F336 - 0.199,F439W - 0.162,F555W - 0.123,F814W - 0.069
23.279,23.829,21.649,18.69
23.281,22.446,23.239,22.642
23.284,20.969,24.067,20.714
23.293,22.975,23.138,22.328
23.294,21.69,22.7,21.404
23.301,20.293,23.471,22.366
23.301,21.817,22.927,22.684
23.308,21.491,22.014,20.829
23.309,22.771,21.125,19.354
23.314,21.87,20.999,23.581
23.329,22.653,22.044,21.388
23.329,21.517,21.755,20.137
23.329,22.743,21.031,20.453
23.332,22.31,22.478,21.462
23.344,23.025,24.076,21.992
23.35,22.158,22.728,21.122
23.365,21.805,22.718,21.738
23.366,23.1,21.025,23.036
23.367,22.922,21.777,21.255
23.37,21.587,23.234,20.566
23.371,22.271,22.298,21.988
23.372,22.225,23.854,21.802
23.374,20.776,23.203,23.465
23.374,20.86,20.528,23.03
23.375,17.374,22.617,21.516
23.379,23.624,22.281,20.097
23.38,22.909,22.45,22.911
23.383,22.164,24.216,21.895
23.385,21.217,22.456,22.387
